@relation MyRelation

@attribute convexity numeric
@attribute circularity numeric
@attribute stdDevR numeric
@attribute relativeX numeric
@attribute relativeY numeric
@attribute relativeArea numeric
@attribute bloodStatus {blood,notBlood}

@data
1,0.698132,7.631145,0.753846,0.185137,0.000008,notBlood
1,0.753982,2.687419,0.76044,0.185137,0.000006,notBlood
1,0.349066,6.429101,0.764835,0.842243,0.000009,notBlood
1,0.211122,2.620264,0.767033,0.719687,0.000022,notBlood
0.941176,0.250023,3.425138,0.769231,0.697523,0.000022,notBlood
0.98,0.201062,2.247081,0.772161,0.661017,0.000038,notBlood
1,0.384685,2.565801,0.775092,0.614081,0.000006,notBlood
0.928571,0.448799,3.452299,0.788278,0.584094,0.000007,notBlood
1,0.154604,0.681795,0.794139,0.554107,0.000031,notBlood
1,0.164837,2.243021,0.794872,0.594524,0.000016,notBlood
0.894737,0.348099,0.458258,0.795604,0.578879,0.00001,notBlood
1,0.337526,7.791666,0.821245,0.385919,0.000012,notBlood
1,0.384685,3.484091,0.821978,0.375489,0.000006,notBlood
1,0.628319,1.32665,0.821978,0.408083,0.000005,notBlood
1,0.384685,2.687419,0.918681,0.886571,0.000006,notBlood
0.875,0.441786,2.845833,0.932601,0.887875,0.000009,notBlood
1,0.620562,6.679902,0.934799,0.780965,0.000015,notBlood
0.904762,0.341942,2.477678,0.962637,0.177314,0.000011,notBlood
0.978495,0.41699,1.449402,0.006678,0.976143,0.000949,notBlood
0.630435,0.292978,26.903607,0.078464,0.347913,0.001468,notBlood
0.923077,0.297429,10.654921,0.075125,0.576541,0.000053,notBlood
1,0.753982,18.003858,0.073456,0.322068,0.00002,notBlood
1,0.523599,11.055416,0.073456,0.59841,0.00002,notBlood
1,0.753982,7.695598,0.080134,0.582505,0.00002,notBlood
1,0.446804,14.210471,0.081803,0.594433,0.000026,notBlood
1,0.775702,3.6,0.30384,0.652087,0.000017,notBlood
1,0.775702,2.416609,0.307179,0.656064,0.000017,notBlood
0.96,0.58308,7.280682,0.315526,0.646123,0.000096,notBlood
1,0.825966,7.611761,0.323873,0.970179,0.001683,notBlood
0.888889,0.499358,6.249419,0.325543,0.88668,0.000681,notBlood
1,0.753982,2.629956,0.320534,0.636183,0.00002,notBlood
1,0.753982,6.841459,0.325543,0.630219,0.00002,notBlood
1,0.539961,8.585015,0.328881,0.640159,0.000036,notBlood
0.909091,0.519272,7.025667,0.330551,0.624254,0.000017,notBlood
0.857143,0.512913,9.505755,0.337229,0.624254,0.000026,notBlood
1,0.628319,11.48216,0.352254,0.141153,0.000017,notBlood
0.875,0.441786,5.845754,0.36394,0.137177,0.00003,notBlood
1,0.436332,7.934734,0.365609,0.642147,0.000017,notBlood
1,0.390954,2.849991,0.375626,0.584493,0.000023,notBlood
1,0.384685,1.247219,0.377295,0.135189,0.00002,notBlood
1,0.775702,8.957678,0.380634,0.558648,0.000017,notBlood
1,0.610865,15.444436,0.387312,0.548708,0.000023,notBlood
0.660888,0.281911,10.856066,0.51586,0.848907,0.063201,notBlood
1,0.775702,20.489998,0.42404,0.578529,0.000017,notBlood
1,0.448799,8,0.430718,0.5666,0.000023,notBlood
1,0.502655,8.274608,0.440735,0.578529,0.00003,notBlood
1,0.523599,10.92398,0.440735,0.562624,0.00002,notBlood
1,0.436332,9.264988,0.439065,0.767396,0.000017,notBlood
1,0.775702,13.305638,0.445743,0.801193,0.000017,notBlood
0.897727,0.355376,6.419822,0.517529,0.489066,0.000724,notBlood
1,0.775702,1.469694,0.552588,0.483101,0.000017,notBlood
