@relation MyRelation

@attribute convexity numeric
@attribute circularity numeric
@attribute stdDevR numeric
@attribute relativeX numeric
@attribute relativeY numeric
@attribute relativeArea numeric
@attribute bloodStatus {blood,notBlood}

@data
1,0.72698,2.25877,0.666005,0.650563,0.000002,notBlood
0.931034,0.403439,1.828745,0.667494,0.655857,0.000009,notBlood
0.961538,0.408965,10.039179,0.666998,0.677697,0.000007,notBlood
1,0.628319,2.332381,0.666005,0.695566,0.000002,notBlood
1,0.753982,7.717225,0.666005,0.643283,0.000002,notBlood
1,0.698132,8.688174,0.669975,0.690271,0.000003,notBlood
0.810811,0.367169,2.898275,0.673945,0.663137,0.000013,notBlood
0.916667,0.698132,3.832427,0.672953,0.691595,0.000003,notBlood
0.75,0.303687,7.664555,0.675434,0.840503,0.000029,notBlood
1,0.753982,1.707825,0.674938,0.640635,0.000002,notBlood
0.827586,0.373554,3.538587,0.676427,0.667108,0.000008,notBlood
0.947368,0.522148,5.175154,0.676427,0.698875,0.000005,notBlood
0.909091,0.519272,5.9279,0.677916,0.659166,0.000007,notBlood
1,0.753982,16.609903,0.677916,0.090668,0.000002,notBlood
1,0.502655,13.428365,0.677916,0.677035,0.000003,notBlood
0.925926,0.39647,9.554737,0.677916,0.692257,0.000008,notBlood
0.88,0.301593,4.193116,0.678908,0.704169,0.000005,notBlood
0.96,0.502655,8.366218,0.679404,0.665784,0.000008,notBlood
1,0.753982,9.516068,0.677916,0.684315,0.000002,notBlood
1,0.623126,9.498538,0.678908,0.672402,0.000002,notBlood
1,0.628319,7.899367,0.678908,0.701522,0.000002,notBlood
1,0.981748,3.878144,0.679404,0.670417,0.000002,notBlood
1,0.519272,6.324555,0.679404,0.836532,0.000002,notBlood
1,0.705255,8.447211,0.680893,0.657181,0.000004,notBlood
0.864865,0.504858,10.03587,0.682382,0.742555,0.000018,notBlood
0.888889,0.413708,8.468897,0.682382,0.811383,0.000008,notBlood
1,0.623126,7.340905,0.681886,0.710126,0.000002,notBlood
